CaseTitle,AccountName,AccountCode,CaseReference,Priority,Status,CreatedOn,ResolvedOn,CSATScore,ResolutionHours
Mobile app crashes on record save,Adventure Works Cycles,ACC-1003,ACC-1003-C001,Normal,Resolved,2026-08-30 12:00,2026-08-30 19:42,3.12,7.7
Duplicate records created after merge,Adventure Works Cycles,ACC-1003,ACC-1003-C002,Normal,Resolved,2026-08-31 10:00,2026-08-31 17:54,3.7,7.9
Duplicate records created after merge,Adventure Works Cycles,ACC-1003,ACC-1003-C003,Normal,Resolved,2026-08-20 16:00,2026-08-20 23:54,3.51,7.9
Notification rules not firing,Adventure Works Cycles,ACC-1003,ACC-1003-C004,Low,Resolved,2026-08-20 15:00,2026-08-20 23:06,3.52,8.1
Permission change not reflected for team,Adventure Works Cycles,ACC-1003,ACC-1003-C005,Low,Resolved,2026-08-18 11:00,2026-08-18 19:12,3.66,8.2
User cannot access reporting module,Adventure Works Cycles,ACC-1003,ACC-1003-C006,Normal,Resolved,2026-08-31 10:00,2026-08-31 17:54,3.14,7.9
Permission change not reflected for team,Adventure Works Cycles,ACC-1003,ACC-1003-C007,Normal,Resolved,2026-09-01 16:00,2026-09-02 00:00,3.58,8.0
Duplicate records created after merge,Adventure Works Cycles,ACC-1003,ACC-1003-C008,Normal,Resolved,2026-08-18 09:00,2026-08-18 17:06,3.36,8.1
Permission change not reflected for team,Adventure Works Cycles,ACC-1003,ACC-1003-C009,Normal,Resolved,2026-08-08 09:00,2026-08-08 17:12,3.01,8.2
Mobile app crashes on record save,Tailspin Toys,ACC-1004,ACC-1004-C001,Normal,Resolved,2026-08-26 15:00,2026-08-27 02:18,2.9,11.3
Duplicate records created after merge,Tailspin Toys,ACC-1004,ACC-1004-C002,Normal,Resolved,2026-08-31 16:00,2026-09-01 03:12,2.99,11.2
Duplicate records created after merge,Tailspin Toys,ACC-1004,ACC-1004-C003,Normal,Resolved,2026-08-12 10:00,2026-08-12 21:18,3.07,11.3
Attachment upload times out,Tailspin Toys,ACC-1004,ACC-1004-C004,Normal,Resolved,2026-08-12 11:00,2026-08-12 21:54,3.07,10.9
Attachment upload times out,Tailspin Toys,ACC-1004,ACC-1004-C005,Normal,Resolved,2026-08-27 14:00,2026-08-28 00:42,3.14,10.7
Duplicate records created after merge,Tailspin Toys,ACC-1004,ACC-1004-C006,Normal,Resolved,2026-08-10 15:00,2026-08-11 01:42,2.8,10.7
Attachment upload times out,Tailspin Toys,ACC-1004,ACC-1004-C007,Low,Resolved,2026-08-10 09:00,2026-08-10 19:42,3.18,10.7
Integration endpoint returning 500 errors,Tailspin Toys,ACC-1004,ACC-1004-C008,Normal,Resolved,2026-08-21 08:00,2026-08-21 19:12,3.65,11.2
